Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
640,H0263,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,"Xanthelasma of right eye, unspecified eyelid               ",
641,H0264,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,Xanthelasma of left upper eyelid                ,
642,H0265,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,Xanthelasma of left lower eyelid                ,
643,H0266,Degenerative disorders of eyelid and periocular area,xanthelasma,EYE008,"Xanthelasma of left eye, unspecified eyelid               ",
644,H0270,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Unspecified degenerative disorders of eyelid and periocular area             ,
645,H02711,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Chloasma of right upper eyelid and periocular area             ,
646,H02712,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Chloasma of right lower eyelid and periocular area             ,
647,H02713,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Chloasma of right eye, unspecified eyelid and periocular area            ",
648,H02714,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Chloasma of left upper eyelid and periocular area             ,
649,H02715,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Chloasma of left lower eyelid and periocular area             ,
650,H02716,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Chloasma of left eye, unspecified eyelid and periocular area            ",
651,H02719,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Chloasma of unspecified eye, unspecified eyelid and periocular area            ",
652,H02721,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Madarosis of right upper eyelid and periocular area             ,
653,H02722,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Madarosis of right lower eyelid and periocular area             ,
654,H02723,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Madarosis of right eye, unspecified eyelid and periocular area            ",
655,H02724,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Madarosis of left upper eyelid and periocular area             ,
656,H02725,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Madarosis of left lower eyelid and periocular area             ,
657,H02726,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Madarosis of left eye, unspecified eyelid and periocular area            ",
658,H02729,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Madarosis of unspecified eye, unspecified eyelid and periocular area            ",
659,H02731,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Vitiligo of right upper eyelid and periocular area             ,
660,H02732,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Vitiligo of right lower eyelid and periocular area             ,
661,H02733,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Vitiligo of right eye, unspecified eyelid and periocular area            ",
662,H02734,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Vitiligo of left upper eyelid and periocular area             ,
663,H02735,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Vitiligo of left lower eyelid and periocular area             ,
664,H02736,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Vitiligo of left eye, unspecified eyelid and periocular area            ",
665,H02739,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,"Vitiligo of unspecified eye, unspecified eyelid and periocular area            ",
666,H0279,Degenerative disorders of eyelid and periocular area,other eyelid degenerative disorders,EYE008,Other degenerative disorders of eyelid and periocular area             ,
667,H02811,Other disorders of eyelid,retained foreign body - eyelid,EYE008,Retained foreign body in right upper eyelid              ,
668,H02812,Other disorders of eyelid,retained foreign body - eyelid,EYE008,Retained foreign body in right lower eyelid              ,
669,H02813,Other disorders of eyelid,retained foreign body - eyelid,EYE008,"Retained foreign body in right eye, unspecified eyelid             ",
670,H02814,Other disorders of eyelid,retained foreign body - eyelid,EYE008,Retained foreign body in left upper eyelid              ,
671,H02815,Other disorders of eyelid,retained foreign body - eyelid,EYE008,Retained foreign body in left lower eyelid              ,
672,H02816,Other disorders of eyelid,retained foreign body - eyelid,EYE008,"Retained foreign body in left eye, unspecified eyelid             ",
673,H02819,Other disorders of eyelid,retained foreign body - eyelid,EYE008,"Retained foreign body in unspecified eye, unspecified eyelid             ",
674,H02821,Other disorders of eyelid,eyelid cysts,EYE008,Cysts of right upper eyelid                ,
675,H02822,Other disorders of eyelid,eyelid cysts,EYE008,Cysts of right lower eyelid                ,
676,H02823,Other disorders of eyelid,eyelid cysts,EYE008,"Cysts of right eye, unspecified eyelid               ",
677,H02824,Other disorders of eyelid,eyelid cysts,EYE008,Cysts of left upper eyelid                ,
678,H02825,Other disorders of eyelid,eyelid cysts,EYE008,Cysts of left lower eyelid                ,
679,H02826,Other disorders of eyelid,eyelid cysts,EYE008,"Cysts of left eye, unspecified eyelid               ",
680,H02829,Other disorders of eyelid,eyelid cysts,EYE008,"Cysts of unspecified eye, unspecified eyelid               ",
681,H02831,Other disorders of eyelid,dermatochalasis,EYE008,Dermatochalasis of right upper eyelid                ,
682,H02832,Other disorders of eyelid,dermatochalasis,EYE008,Dermatochalasis of right lower eyelid                ,
683,H02833,Other disorders of eyelid,dermatochalasis,EYE008,"Dermatochalasis of right eye, unspecified eyelid               ",
684,H02834,Other disorders of eyelid,dermatochalasis,EYE008,Dermatochalasis of left upper eyelid                ,
685,H02835,Other disorders of eyelid,dermatochalasis,EYE008,Dermatochalasis of left lower eyelid                ,
686,H02836,Other disorders of eyelid,dermatochalasis,EYE008,"Dermatochalasis of left eye, unspecified eyelid               ",
687,H02839,Other disorders of eyelid,dermatochalasis,EYE008,"Dermatochalasis of unspecified eye, unspecified eyelid               ",
688,H02841,Other disorders of eyelid,eyelid edema,EYE008,Edema of right upper eyelid                ,
689,H02842,Other disorders of eyelid,eyelid edema,EYE008,Edema of right lower eyelid                ,
690,H02843,Other disorders of eyelid,eyelid edema,EYE008,"Edema of right eye, unspecified eyelid               ",
691,H02844,Other disorders of eyelid,eyelid edema,EYE008,Edema of left upper eyelid                ,
692,H02845,Other disorders of eyelid,eyelid edema,EYE008,Edema of left lower eyelid                ,
693,H02846,Other disorders of eyelid,eyelid edema,EYE008,"Edema of left eye, unspecified eyelid               ",
694,H02849,Other disorders of eyelid,eyelid edema,EYE008,"Edema of unspecified eye, unspecified eyelid               ",
695,H02851,Other disorders of eyelid,CODE EXCLUDED,EYE008,Elephantiasis of right upper eyelid                ,"Very low numbers (< 10), and incomplete TS data of H02.85%"
696,H02852,Other disorders of eyelid,CODE EXCLUDED,EYE008,Elephantiasis of right lower eyelid                ,"Very low numbers (< 10), and incomplete TS data of H02.85%"
697,H02853,Other disorders of eyelid,CODE EXCLUDED,EYE008,"Elephantiasis of right eye, unspecified eyelid               ","Very low numbers (< 10), and incomplete TS data of H02.85%"
698,H02854,Other disorders of eyelid,CODE EXCLUDED,EYE008,Elephantiasis of left upper eyelid                ,"Very low numbers (< 10), and incomplete TS data of H02.85%"
699,H02855,Other disorders of eyelid,CODE EXCLUDED,EYE008,Elephantiasis of left lower eyelid                ,"Very low numbers (< 10), and incomplete TS data of H02.85%"
700,H02856,Other disorders of eyelid,CODE EXCLUDED,EYE008,"Elephantiasis of left eye, unspecified eyelid               ","Very low numbers (< 10), and incomplete TS data of H02.85%"
701,H02859,Other disorders of eyelid,CODE EXCLUDED,EYE008,"Elephantiasis of unspecified eye, unspecified eyelid               ","Very low numbers (< 10), and incomplete TS data of H02.85%"
702,H02861,Other disorders of eyelid,hypertrichosis,EYE008,Hypertrichosis of right upper eyelid                ,
703,H02862,Other disorders of eyelid,hypertrichosis,EYE008,Hypertrichosis of right lower eyelid                ,
704,H02863,Other disorders of eyelid,hypertrichosis,EYE008,"Hypertrichosis of right eye, unspecified eyelid               ",
705,H02864,Other disorders of eyelid,hypertrichosis,EYE008,Hypertrichosis of left upper eyelid                ,
706,H02865,Other disorders of eyelid,hypertrichosis,EYE008,Hypertrichosis of left lower eyelid                ,
707,H02866,Other disorders of eyelid,hypertrichosis,EYE008,"Hypertrichosis of left eye, unspecified eyelid               ",
708,H02869,Other disorders of eyelid,hypertrichosis,EYE008,"Hypertrichosis of unspecified eye, unspecified eyelid               ",
709,H02871,Other disorders of eyelid,eyelid vascular anomalies,EYE008,Vascular anomalies of right upper eyelid               ,
710,H02872,Other disorders of eyelid,eyelid vascular anomalies,EYE008,Vascular anomalies of right lower eyelid               ,
711,H02873,Other disorders of eyelid,eyelid vascular anomalies,EYE008,"Vascular anomalies of right eye, unspecified eyelid              ",
712,H02874,Other disorders of eyelid,eyelid vascular anomalies,EYE008,Vascular anomalies of left upper eyelid               ,
713,H02875,Other disorders of eyelid,eyelid vascular anomalies,EYE008,Vascular anomalies of left lower eyelid               ,
714,H02876,Other disorders of eyelid,eyelid vascular anomalies,EYE008,"Vascular anomalies of left eye, unspecified eyelid              ",
715,H02879,Other disorders of eyelid,eyelid vascular anomalies,EYE008,"Vascular anomalies of unspecified eye, unspecified eyelid              ",
716,H0289,Other disorders of eyelid,other/unspec eyelid disorders,EYE008,Other specified disorders of eyelid                ,
717,H029,Other disorders of eyelid,other/unspec eyelid disorders,EYE008,Unspecified disorder of eyelid                 ,
718,H04001,Dacryoadenitis,dacryoadenitis - unspec,EYE008,"Unspecified dacryoadenitis, right lacrimal gland                ",
719,H04002,Dacryoadenitis,dacryoadenitis - unspec,EYE008,"Unspecified dacryoadenitis, left lacrimal gland                ",
720,H04003,Dacryoadenitis,dacryoadenitis - unspec,EYE008,"Unspecified dacryoadenitis, bilateral lacrimal glands                ",
721,H04009,Dacryoadenitis,dacryoadenitis - unspec,EYE008,"Unspecified dacryoadenitis, unspecified lacrimal gland                ",
722,H04011,Dacryoadenitis,dacryoadenitis - acute,EYE008,"Acute dacryoadenitis, right lacrimal gland                ",
723,H04012,Dacryoadenitis,dacryoadenitis - acute,EYE008,"Acute dacryoadenitis, left lacrimal gland                ",
724,H04013,Dacryoadenitis,dacryoadenitis - acute,EYE008,"Acute dacryoadenitis, bilateral lacrimal glands                ",
725,H04019,Dacryoadenitis,dacryoadenitis - acute,EYE008,"Acute dacryoadenitis, unspecified lacrimal gland                ",
726,H04021,Dacryoadenitis,dacryoadenitis - chronic,EYE008,"Chronic dacryoadenitis, right lacrimal gland                ",
727,H04022,Dacryoadenitis,dacryoadenitis - chronic,EYE008,"Chronic dacryoadenitis, left lacrimal gland                ",
728,H04023,Dacryoadenitis,dacryoadenitis - chronic,EYE008,"Chronic dacryoadenitis, bilateral lacrimal gland                ",
729,H04029,Dacryoadenitis,dacryoadenitis - chronic,EYE008,"Chronic dacryoadenitis, unspecified lacrimal gland                ",
730,H04031,Dacryoadenitis,dacryoadenitis - chronic,EYE008,Chronic enlargement of right lacrimal gland               ,
731,H04032,Dacryoadenitis,dacryoadenitis - chronic,EYE008,Chronic enlargement of left lacrimal gland               ,
732,H04033,Dacryoadenitis,dacryoadenitis - chronic,EYE008,Chronic enlargement of bilateral lacrimal glands               ,
733,H04039,Dacryoadenitis,dacryoadenitis - chronic,EYE008,Chronic enlargement of unspecified lacrimal gland               ,
