"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"612","H02.432","Ptosis of eyelid","ptosis","EYE008","Paralytic ptosis of left eyelid                "
"613","H02.433","Ptosis of eyelid","ptosis","EYE008","Paralytic ptosis of bilateral eyelids                "
"614","H02.439","Ptosis of eyelid","ptosis","EYE008","Paralytic ptosis unspecified eyelid                 "
"615","H02.511","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome right upper eyelid               "
"616","H02.512","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome right lower eyelid               "
"617","H02.513","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome right eye, unspecified eyelid              "
"618","H02.514","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome left upper eyelid               "
"619","H02.515","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome left lower eyelid               "
"620","H02.516","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome left eye, unspecified eyelid              "
"621","H02.519","Other disorders affecting eyelid function","abnormal innervation syndrome","EYE008","Abnormal innervation syndrome unspecified eye, unspecified eyelid              "
"622","H02.521","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis right upper eyelid                 "
"623","H02.522","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis right lower eyelid                 "
"624","H02.523","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis right eye, unspecified eyelid                "
"625","H02.524","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis left upper eyelid                 "
"626","H02.525","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis left lower eyelid                 "
"627","H02.526","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis left eye, unspecified eyelid                "
"628","H02.529","Other disorders affecting eyelid function","blepharophimosis","EYE008","Blepharophimosis unspecified eye, unspecified lid                "
"629","H02.531","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction right upper eyelid                "
"630","H02.532","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction right lower eyelid                "
"631","H02.533","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction right eye, unspecified eyelid               "
"632","H02.534","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction left upper eyelid                "
"633","H02.535","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction left lower eyelid                "
"634","H02.536","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction left eye, unspecified eyelid               "
"635","H02.539","Other disorders affecting eyelid function","eyelid retraction","EYE008","Eyelid retraction unspecified eye, unspecified lid               "
"636","H02.59","Other disorders affecting eyelid function","other eyelid function disorders","EYE008","Other disorders affecting eyelid function                "
"637","H02.60","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of unspecified eye, unspecified eyelid               "
"638","H02.61","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of right upper eyelid                "
"639","H02.62","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of right lower eyelid                "
"640","H02.63","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of right eye, unspecified eyelid               "
"641","H02.64","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of left upper eyelid                "
"642","H02.65","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of left lower eyelid                "
"643","H02.66","Degenerative disorders of eyelid and periocular area","xanthelasma","EYE008","Xanthelasma of left eye, unspecified eyelid               "
"644","H02.70","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Unspecified degenerative disorders of eyelid and periocular area             "
"645","H02.711","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of right upper eyelid and periocular area             "
"646","H02.712","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of right lower eyelid and periocular area             "
"647","H02.713","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of right eye, unspecified eyelid and periocular area            "
"648","H02.714","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of left upper eyelid and periocular area             "
"649","H02.715","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of left lower eyelid and periocular area             "
"650","H02.716","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of left eye, unspecified eyelid and periocular area            "
"651","H02.719","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Chloasma of unspecified eye, unspecified eyelid and periocular area            "
"652","H02.721","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of right upper eyelid and periocular area             "
"653","H02.722","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of right lower eyelid and periocular area             "
"654","H02.723","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of right eye, unspecified eyelid and periocular area            "
"655","H02.724","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of left upper eyelid and periocular area             "
"656","H02.725","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of left lower eyelid and periocular area             "
"657","H02.726","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of left eye, unspecified eyelid and periocular area            "
"658","H02.729","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Madarosis of unspecified eye, unspecified eyelid and periocular area            "
"659","H02.731","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of right upper eyelid and periocular area             "
"660","H02.732","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of right lower eyelid and periocular area             "
"661","H02.733","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of right eye, unspecified eyelid and periocular area            "
"662","H02.734","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of left upper eyelid and periocular area             "
"663","H02.735","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of left lower eyelid and periocular area             "
"664","H02.736","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of left eye, unspecified eyelid and periocular area            "
"665","H02.739","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Vitiligo of unspecified eye, unspecified eyelid and periocular area            "
"666","H02.79","Degenerative disorders of eyelid and periocular area","other eyelid degenerative disorders","EYE008","Other degenerative disorders of eyelid and periocular area             "
"667","H02.811","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in right upper eyelid              "
"668","H02.812","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in right lower eyelid              "
"669","H02.813","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in right eye, unspecified eyelid             "
"670","H02.814","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in left upper eyelid              "
"671","H02.815","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in left lower eyelid              "
"672","H02.816","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in left eye, unspecified eyelid             "
"673","H02.819","Other disorders of eyelid","retained foreign body - eyelid","EYE008","Retained foreign body in unspecified eye, unspecified eyelid             "
"674","H02.821","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of right upper eyelid                "
"675","H02.822","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of right lower eyelid                "
"676","H02.823","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of right eye, unspecified eyelid               "
"677","H02.824","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of left upper eyelid                "
"678","H02.825","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of left lower eyelid                "
"679","H02.826","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of left eye, unspecified eyelid               "
"680","H02.829","Other disorders of eyelid","eyelid cysts","EYE008","Cysts of unspecified eye, unspecified eyelid               "
"681","H02.831","Other disorders of eyelid","dermatochalasis","EYE008","Dermatochalasis of right upper eyelid                "
"682","H02.832","Other disorders of eyelid","dermatochalasis","EYE008","Dermatochalasis of right lower eyelid                "
